km,price
32.2857,36.5714
32.8571,36.5714
33.4286,36.5714
34.0000,36.5714
34.5714,36.5714
35.1429,36.5714
35.7143,36.5714
36.2857,36.5714
36.8571,36.5714
37.4286,36.5714
38.0000,36.5714
38.5714,36.5714
39.1429,36.5714
39.7143,36.5714
40.2857,36.5714
40.8571,36.5714
41.4286,36.5714
42.0000,36.5714
42.5714,36.5714
43.1429,36.5714
43.7143,36.5714
44.2857,36.5714
44.8571,36.5714
45.4286,36.5714
46.0000,36.5714
46.5714,36.5714
47.1429,36.5714
47.7143,36.5714
48.2857,36.5714
48.8571,36.5714
49.4286,36.5714
50.0000,36.5714
50.5714,36.5714
51.1429,36.5714
51.7143,36.5714
52.2857,36.5714
52.8571,36.5714
53.4286,36.5714
54.0000,36.5714
54.5714,36.5714
55.1429,36.5714
55.7143,36.5714
56.2857,36.5714
56.8571,36.5714
57.4286,36.5714
58.0000,36.5714
58.5714,36.5714
59.1429,36.5714
59.7143,36.5714
60.2857,36.5714
60.8571,36.5714
61.4286,36.5714
62.0000,36.5714
62.5714,36.5714
63.1429,36.5714
63.7143,36.5714
64.2857,36.5714
64.8571,36.5714
65.4286,36.5714
66.0000,36.5714
66.5714,36.5714
67.1429,36.5714
67.7143,36.5714
68.2857,36.5714
68.8571,36.5714
69.4286,36.5714
70.0000,36.5714
70.5714,36.5714
71.1429,36.5714
71.7143,36.5714
72.2857,36.5714
72.8571,36.5714
73.4286,36.5714
74.0000,36.5714
74.5714,36.5714
75.1429,36.5714
75.7143,36.5714
76.2857,36.5714
76.8571,36.5714
77.4286,36.5714
78.0000,36.5714
78.5714,36.5714
79.1429,36.5714
79.7143,36.5714
80.2857,36.5714
80.8571,36.5714
81.4286,36.5714
82.0000,36.5714
82.5714,36.5714
83.1429,36.5714
83.7143,36.5714
84.2857,36.5714
84.8571,36.5714
85.4286,36.5714
86.0000,36.5714
86.5714,36.5714
87.1429,36.5714
87.7143,36.5714
88.2857,36.5714
88.8571,36.5714
89.4286,36.5714
90.0000,36.5714
90.5714,36.5714
91.1429,36.5714
91.7143,36.5714
92.2857,36.5714
92.8571,36.5714
93.4286,36.5714
94.0000,36.5714
94.5714,36.5714
95.1429,36.5714
95.7143,36.5714
96.2857,36.5714
96.8571,36.5714
97.4286,36.5714
98.0000,36.5714
98.5714,36.5714
99.1429,36.5714
99.7143,36.5714
